iter	MultiClass
0	0.9888443001
1	0.8991941739
2	0.8238423054
3	0.7590162615
4	0.7051030189
5	0.6567296466
6	0.6133092344
7	0.577296974
8	0.5436779514
9	0.514347874
10	0.4882196703
11	0.4641212051
12	0.4424494563
13	0.4223828215
14	0.4046302123
15	0.3878576749
16	0.3731359149
17	0.3591603082
18	0.347260106
19	0.3359106087
20	0.3250679249
21	0.3155622855
22	0.3065832445
23	0.2979330562
24	0.2902019926
25	0.283284569
26	0.2770782233
27	0.2710924647
28	0.2652058743
29	0.2593631009
30	0.2541185397
31	0.2493133877
32	0.2448143601
33	0.2407035504
34	0.2367766498
35	0.2330588335
36	0.2297205097
37	0.2262388168
38	0.2230912063
39	0.2201963283
40	0.2173930896
41	0.2142889519
42	0.2116993781
43	0.2092532824
44	0.2071964538
45	0.2048519619
46	0.2027606615
47	0.2006779639
48	0.1986120249
49	0.1967535728
50	0.1950370335
51	0.193131041
52	0.1916788279
53	0.1903825886
54	0.1888194218
55	0.1873192229
56	0.1858384479
57	0.1845759998
58	0.183320899
59	0.1821581585
60	0.1810717005
61	0.179650564
62	0.178234981
63	0.1771798554
64	0.1762471095
65	0.1752590807
66	0.1743297275
67	0.1732146665
68	0.172361447
69	0.1713956754
70	0.1706533212
71	0.1697870324
72	0.1689119532
73	0.1679555366
74	0.1670896988
75	0.1662099234
76	0.1654519093
77	0.1647478698
78	0.1640006333
79	0.1632390735
80	0.1625495497
81	0.1616007517
82	0.161038179
83	0.1600643405
84	0.1593622225
85	0.1584892666
86	0.1578117712
87	0.1569674226
88	0.1563661651
89	0.1555214135
90	0.1547378973
91	0.1540702817
92	0.1532070174
93	0.1525780635
94	0.1517834019
95	0.1510008692
96	0.1503234311
97	0.1496629861
98	0.1490860722
99	0.1486589941
100	0.1483339188
101	0.1475629345
102	0.1470642392
103	0.1465172294
104	0.1458359874
105	0.1449724034
106	0.1443068523
107	0.1437254503
108	0.1430741761
109	0.142463892
110	0.1420182973
111	0.1416183422
112	0.14103721
113	0.1404023029
114	0.1399117061
115	0.1392740375
116	0.1388196035
117	0.1381791673
118	0.1375160084
119	0.1368034433
120	0.136149099
121	0.1356972409
122	0.1351234408
123	0.134785761
124	0.1341398506
125	0.133513921
126	0.1331959911
127	0.1327668564
128	0.1323517854
129	0.1318218326
130	0.1313644555
131	0.1308530681
132	0.1302221421
133	0.1295468681
134	0.1290466436
135	0.1283735008
136	0.1279141883
137	0.127391754
138	0.1270344903
139	0.1263407913
140	0.125936157
141	0.1253668591
142	0.1248668032
143	0.1245350106
144	0.1242237727
145	0.1237927278
146	0.1230953881
147	0.1226280337
148	0.122065138
149	0.121648381
150	0.1208144778
151	0.1204744405
152	0.1200621601
153	0.1193462935
154	0.1186731436
155	0.1182140874
156	0.1176561979
157	0.1171635896
158	0.1167797847
159	0.1163191215
160	0.1159713258
161	0.1153650428
162	0.1150517001
163	0.1146411809
164	0.114165876
165	0.1137877796
166	0.1133989805
167	0.1130838615
168	0.1127310314
169	0.1123700498
170	0.1117635907
171	0.111327089
172	0.1108791795
173	0.1103319252
174	0.1100445174
175	0.1097490144
176	0.1092645617
177	0.1087947868
178	0.1084595996
179	0.108153329
180	0.1078908833
181	0.1075404533
182	0.1072051705
183	0.1067710249
184	0.1063979606
185	0.1057348588
186	0.1054368666
187	0.1050225077
188	0.1044618784
189	0.1041757255
190	0.1037288593
191	0.1032631507
192	0.1029253138
193	0.1027089062
194	0.1023203898
195	0.1019301428
196	0.1014353305
197	0.1012051816
198	0.1009059446
199	0.1005985023
