iter	Passed	Remaining
0	7	1583
1	16	1591
2	24	1599
3	32	1588
4	40	1580
5	48	1572
6	56	1557
7	64	1553
8	72	1545
9	80	1536
10	89	1529
11	97	1526
12	105	1519
13	113	1511
14	122	1505
15	130	1497
16	131	1418
17	140	1416
18	147	1409
19	156	1405
20	164	1399
21	172	1392
22	180	1387
23	188	1379
24	196	1373
25	204	1367
26	212	1359
27	220	1352
28	228	1346
29	236	1338
30	244	1332
31	252	1324
32	260	1318
33	268	1310
34	276	1303
35	284	1294
36	292	1287
37	300	1280
38	308	1273
39	316	1266
40	324	1257
41	332	1251
42	340	1243
43	348	1234
44	356	1228
45	364	1220
46	372	1212
47	380	1205
48	388	1198
49	396	1190
50	404	1182
51	412	1174
52	420	1166
53	428	1159
54	436	1151
55	445	1145
56	453	1137
57	461	1129
58	470	1123
59	478	1115
60	486	1107
61	494	1099
62	502	1092
63	510	1084
64	518	1076
65	526	1068
66	534	1061
67	542	1053
68	550	1045
69	558	1037
70	566	1029
71	574	1021
72	582	1013
73	590	1006
74	598	998
75	606	989
76	615	982
77	623	974
78	631	966
79	639	958
80	647	950
81	655	942
82	662	934
83	670	926
84	678	918
85	686	910
86	694	902
87	702	894
88	711	886
89	718	878
90	727	870
91	735	863
92	743	855
93	751	847
94	759	839
95	767	831
96	775	823
97	783	815
98	791	807
99	799	799
100	807	791
101	815	783
102	823	775
103	831	767
104	839	759
105	847	751
106	855	743
107	864	736
108	872	728
109	880	720
110	888	712
111	896	704
112	904	696
113	911	687
114	920	680
115	928	672
116	936	664
117	944	656
118	952	648
119	960	640
120	968	632
121	976	624
122	984	616
123	993	608
124	1002	601
125	1010	593
126	1018	585
127	1026	577
128	1034	569
129	1042	561
130	1050	553
131	1058	545
132	1066	537
133	1074	529
134	1082	521
135	1090	513
136	1098	504
137	1106	496
138	1114	488
139	1122	480
140	1130	473
141	1138	464
142	1146	456
143	1154	448
144	1162	440
145	1170	432
146	1178	424
147	1186	416
148	1194	408
149	1202	400
150	1210	392
151	1218	384
152	1226	376
153	1234	368
154	1242	360
155	1250	352
156	1258	344
157	1266	336
158	1274	328
159	1282	320
160	1290	312
161	1298	304
162	1306	296
163	1314	288
164	1322	280
165	1330	272
166	1339	264
167	1347	256
168	1355	248
169	1363	240
170	1371	232
171	1379	224
172	1387	216
173	1395	208
174	1403	200
175	1411	192
176	1419	184
177	1427	176
178	1435	168
179	1443	160
180	1451	152
181	1460	144
182	1468	136
183	1476	128
184	1484	120
185	1492	112
186	1500	104
187	1508	96
188	1516	88
189	1524	80
190	1532	72
191	1541	64
192	1549	56
193	1557	48
194	1565	40
195	1573	32
196	1581	24
197	1589	16
198	1597	8
199	1607	0
